"country","status","description","range","number","day","source"
"Sierra Leone","CASES","Total","Cumulative","7312","274","WHO"
"Liberia","DEATHS","Total","Cumulative","3145","272","WHO"
"Liberia","CASES","Total","Cumulative","7635","272","WHO"
"Liberia","CASES","Confirmed","Cumulative","2801","272","WHO"
"Liberia","CASES","Probable","Cumulative","1792","272","WHO"
"Liberia","CASES","Suspected","Cumulative","3042","272","WHO"
"Guinea","CASES","Confirmed","Cumulative","1929","274","WHO"
"Guinea","CASES","Probable","Cumulative","210","274","WHO"
"Guinea","CASES","Suspected","Cumulative","25","274","WHO"
"Guinea","CASES","Total","Cumulative","2164","274","WHO"
"Guinea","CASES","Confirmed","In past 21 days","306","274","WHO"
"Guinea","CASES","Total","In past 21 days","306","274","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1117","274","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","274","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","274","WHO"
"Guinea","DEATHS","Total","Cumulative","1327","274","WHO"
"Liberia","CASES","Confirmed","Cumulative","2801","272","WHO"
"Liberia","CASES","Probable","Cumulative","1792","272","WHO"
"Liberia","CASES","Suspected","Cumulative","3042","272","WHO"
"Liberia","CASES","Total","Cumulative","7635","272","WHO"
"Liberia","CASES","Confirmed","In past 21 days","278","272","WHO"
"Liberia","CASES","Total","In past 21 days","278","272","WHO"
"Liberia","DEATHS","Total","Cumulative","3145","272","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","5978","274","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","274","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1255","274","WHO"
"Sierra Leone","CASES","Total","Cumulative","7312","274","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1455","274","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1455","274","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1374","274","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","274","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","274","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1583","274","WHO"
"All countries","CASES","Total","Cumulative","17111","343","WHO"
"All countries","CASES","Total","In past 21 days","2039","343","WHO"
"All countries","DEATHS","Total","Cumulative","6055","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2805","273","WHO"
"Liberia","CASES","Probable","Cumulative","1792","273","WHO"
"Liberia","CASES","Suspected","Cumulative","3053","273","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6039","275","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","275","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1302","275","WHO"
"Guinea","CASES","Confirmed","Cumulative","1949","276","WHO"
"Guinea","CASES","Probable","Cumulative","210","276","WHO"
"Guinea","CASES","Suspected","Cumulative","27","276","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1400","275","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","275","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","275","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1139","276","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","276","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","276","WHO"
"Liberia","DEATHS","Total","Cumulative","3155","273","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1609","275","WHO"
"Guinea","DEATHS","Total","Cumulative","1349","276","WHO"
"Liberia","CASES","Total","Cumulative","7650","273","WHO"
"Sierra Leone","CASES","Total","Cumulative","7420","275","WHO"
"Guinea","CASES","Total","Cumulative","2186","276","WHO"
"All countries","CASES","Total","Cumulative","17256","343","WHO"
"All countries","DEATHS","Total","Cumulative","6113","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2824","276","WHO"
"Liberia","CASES","Probable","Cumulative","1809","276","WHO"
"Liberia","CASES","Suspected","Cumulative","3057","276","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6201","277","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","277","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1355","277","WHO"
"Guinea","CASES","Confirmed","Cumulative","1956","277","WHO"
"Guinea","CASES","Probable","Cumulative","215","277","WHO"
"Guinea","CASES","Suspected","Cumulative","21","277","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1451","277","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","277","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","277","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1151","277","WHO"
"Guinea","DEATHS","Probable","Cumulative","215","277","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","277","WHO"
"Liberia","DEATHS","Total","Cumulative","3161","276","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1660","277","WHO"
"Guinea","DEATHS","Total","Cumulative","1366","277","WHO"
"Liberia","CASES","Total","Cumulative","7690","276","WHO"
"Sierra Leone","CASES","Total","Cumulative","7635","277","WHO"
"Guinea","CASES","Total","Cumulative","2192","277","WHO"
"All countries","CASES","Total","Cumulative","17517","343","WHO"
"All countries","DEATHS","Total","Cumulative","6187","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2830","277","WHO"
"Liberia","CASES","Probable","Cumulative","1814","277","WHO"
"Liberia","CASES","Suspected","Cumulative","3075","277","WHO"
"Guinea","CASES","Confirmed","Cumulative","2035","280","WHO"
"Guinea","CASES","Probable","Cumulative","220","280","WHO"
"Guinea","CASES","Suspected","Cumulative","28","280","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6317","280","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","280","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1402","280","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1192","280","WHO"
"Guinea","DEATHS","Probable","Cumulative","220","280","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","280","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1533","280","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","280","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","280","WHO"
"Liberia","DEATHS","Total","Cumulative","3177","277","WHO"
"Guinea","DEATHS","Total","Cumulative","1412","280","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1742","280","WHO"
"Liberia","CASES","Total","Cumulative","7719","277","WHO"
"Guinea","CASES","Total","Cumulative","2283","280","WHO"
"Sierra Leone","CASES","Total","Cumulative","7798","280","WHO"
"All countries","CASES","Total","Cumulative","17800","343","WHO"
"All countries","DEATHS","Total","Cumulative","6331","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2051","281","WHO"
"Guinea","CASES","Probable","Cumulative","221","281","WHO"
"Guinea","CASES","Suspected","Cumulative","20","281","WHO"
"Guinea","CASES","Total","Cumulative","2292","281","WHO"
"Guinea","CASES","Confirmed","In past 21 days","321","281","WHO"
"Guinea","CASES","Probable","In past 21 days","13","281","WHO"
"Guinea","CASES","Suspected","In past 21 days","177","281","WHO"
"Guinea","CASES","Total","In past 21 days","511","281","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1207","281","WHO"
"Guinea","DEATHS","Probable","Cumulative","221","281","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","281","WHO"
"Guinea","DEATHS","Total","Cumulative","1428","281","WHO"
"Liberia","CASES","Confirmed","Cumulative","2830","277","WHO"
"Liberia","CASES","Probable","Cumulative","1814","277","WHO"
"Liberia","CASES","Suspected","Cumulative","3075","277","WHO"
"Liberia","CASES","Total","Cumulative","7719","277","WHO"
"Liberia","CASES","Confirmed","In past 21 days","225","277","WHO"
"Liberia","CASES","Probable","In past 21 days","186","277","WHO"
"Liberia","CASES","Suspected","In past 21 days","441","277","WHO"
"Liberia","CASES","Total","In past 21 days","852","277","WHO"
"Liberia","DEATHS","Total","Cumulative","3177","277","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6375","281","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","281","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1443","281","WHO"
"Sierra Leone","CASES","Total","Cumulative","7897","281","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1319","281","WHO"
"Sierra Leone","CASES","Probable","In past 21 days","0","281","WHO"
"Sierra Leone","CASES","Suspected","In past 21 days","505","281","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1824","281","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1559","281","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","281","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","281","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1768","281","WHO"
"All countries","CASES","Total","Cumulative","17908","343","WHO"
"All countries","CASES","Total","In past 21 days","3187","343","WHO"
"All countries","DEATHS","Total","Cumulative","6373","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2869","281","WHO"
"Liberia","CASES","Probable","Cumulative","1829","281","WHO"
"Liberia","CASES","Suspected","Cumulative","3067","281","WHO"
"Liberia","CASES","Total","Cumulative","7765","281","WHO"
"Liberia","DEATHS","Total","Cumulative","3222","281","WHO"
"Guinea","CASES","Confirmed","Cumulative","2081","283","WHO"
"Guinea","CASES","Probable","Cumulative","229","283","WHO"
"Guinea","CASES","Suspected","Cumulative","29","283","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1225","283","WHO"
"Guinea","DEATHS","Probable","Cumulative","229","283","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","283","WHO"
"Guinea","DEATHS","Total","Cumulative","1454","283","WHO"
