"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","4523","4523.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","208","208.00000","","",""
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1647","1647.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","208","208.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","64","64.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1919","1919.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","958","958.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","208","208.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","0","0.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1166","1166.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","2562","2562.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1716","1716.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","2600","2600.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","6878","6878.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","Not reported","","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","Not reported","","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","Not reported","","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-1","10 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","2812","2812.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 10 November 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","4683","4683.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","79","79.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","824","824.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","5586","5586.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","978","978.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","174","174.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","35","35.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1187","1187.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
"Display Value","Numeric","Low","High","Comments"
"Display Value","Numeric","Low","High","Comments"
"Display Value","Numeric","Low","High","Comments"
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1698","1698.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","210","210.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","63","63.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1971","1971.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","308","308.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","7","7.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","Not reported","","","","Not reported due to the high proportion of suspected cases that are reclassified. "
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","315","315.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","982","982.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","210","210.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1192","1192.00000","","",""
