"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","3110","3110.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","1776","1776.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","3132","3132.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","8018","8018.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-28","28 December 2014","","3423","3423.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","2435","2435.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","276","276.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","19","19.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","1463","1463.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","276","276.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","1739","1739.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","2730","2730.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","7476","7476.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","287","287.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","1870","1870.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","9633","9633.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","2461","2461.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","208","208.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","158","158.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","2014-12-31","31 December 2014","","2827","2827.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","","","","20 381","20381.00000","","","This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-02","Data package 2015-01-02","","","","","7989","7989.00000","","","This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"Display Value","Numeric","Low","High","Comments"
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","3116","3116.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","1805","1805.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","3198","3198.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","8115","8115.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2014-12-31","31 December 2014","","3471","3471.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","2465","2465.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","280","280.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","26","26.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","1488","1488.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","280","280.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","1767","1767.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","2769","2769.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","7570","7570.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","287","287.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","1915","1915.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","9772","9772.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","2549","2549.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","208","208.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","158","158.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","2015-01-03","3 January 2015","","2915","2915.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","","","","20 656","20656.00000","","","This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-05","Data package 2015-01-05","","","","","8153","8153.00000","","","This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","3118","3118.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","1816","1816.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","3223","3223.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","8157","8157.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-02","2 January 2015","","3496","3496.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","2471","2471.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","282","282.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","22","22.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","1499","1499.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","282","282.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","1781","1781.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","2775","2775.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","7602","7602.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","287","287.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","1891","1891.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","9780","9780.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","2577","2577.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","208","208.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","158","158.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","2015-01-04","4 January 2015","","2943","2943.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","","","","20 712","20712.00000","","","This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-06","Data package 2015-01-06","","","","","8220","8220.00000","",""," This total only includes the high transmission countries Guinea, Liberia, and Sierra Leone"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","2471","2471.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","282","282.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","22","22.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","2775","2775.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","344","344.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","344","344.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","1499","1499.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","282","282.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","1781","1781.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","3118","3118.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","1816","1816.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","3223","3223.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","8157","8157.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","70","70.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","70","70.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","Data not available.","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","Data not available.","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","Data not available.","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-02","2 January 2015","","3496","3496.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","7602","7602.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","287","287.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","1891","1891.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","9780","9780.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","900","900.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","900","900.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","2577","2577.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","208","208.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2015-01-07","Data package 2015-01-07","","2015-01-04","4 January 2015","","158","158.00000","","",""
